Class Times	20
Rooms	10
1	574
2	966
3	572
4	396
5	456
6	869
7	586
8	528
9	656
10	934
Classes	140
Teachers	70
1	9
2	29
3	31
4	63
5	59
6	44
7	42
8	61
9	9
10	1
11	51
12	12
13	28
14	39
15	43
16	33
17	8
18	60
19	4
20	56
21	27
22	13
23	21
24	46
25	19
26	52
27	70
28	52
29	40
30	1
31	14
32	27
33	48
34	40
35	45
36	58
37	57
38	15
39	18
40	4
41	13
42	53
43	21
44	34
45	58
46	69
47	49
48	59
49	3
50	14
51	53
52	33
53	25
54	31
55	32
56	3
57	46
58	12
59	35
60	6
61	30
62	6
63	23
64	44
65	16
66	39
67	47
68	11
69	68
70	10
71	5
72	51
73	34
74	22
75	60
76	50
77	56
78	11
79	5
80	26
81	67
82	18
83	16
84	65
85	57
86	55
87	55
88	67
89	70
90	43
91	47
92	25
93	26
94	17
95	38
96	35
97	15
98	2
99	28
100	50
101	2
102	29
103	63
104	45
105	8
106	36
107	37
108	37
109	54
110	19
111	24
112	41
113	17
114	24
115	61
116	66
117	68
118	48
119	49
120	41
121	62
122	32
123	36
124	7
125	42
126	10
127	23
128	38
129	54
130	22
131	64
132	30
133	62
134	66
135	20
136	69
137	20
138	64
139	65
140	7
